query_id,fold,control_ndcg10,physical_metric_ndcg10,control_track_rmse_km,physical_metric_track_rmse_km
physical_query_039,report_2011_2012,0.0,0.0,976.2858276367188,2323.474853515625
physical_query_040,report_2011_2012,0.0,0.0,1158.15185546875,3383.052001953125
physical_query_041,report_2011_2012,0.0,0.0,975.4573974609376,2010.0703125
physical_query_042,report_2011_2012,0.0,0.0,1087.5941162109375,3494.13623046875
physical_query_043,report_2011_2012,0.0,0.2122263659729146,4006.909423828125,1626.150146484375
physical_query_044,report_2011_2012,0.0,0.1794771050858173,454.0089416503906,887.6522216796875
physical_query_045,report_2011_2012,0.3686580539482399,0.7849818707050383,3117.996337890625,479.2352294921875
physical_query_046,report_2011_2012,0.0694312219367772,0.3398414932237255,1113.51513671875,712.5950927734375
physical_query_047,report_2011_2012,0.0,0.2583297509898471,1175.8306884765625,654.2706909179688
physical_query_048,report_2013_2014,0.0694312219367772,0.07336392209936,4054.82666015625,1217.4571533203125
physical_query_049,report_2013_2014,0.164219586306328,0.841492960259019,3118.323974609375,481.7708129882813
physical_query_050,report_2013_2014,0.0,0.0,2147.1318359375,1048.9398193359375
physical_query_051,report_2013_2014,0.0636207881989517,0.0,736.510986328125,1480.2568359375
physical_query_052,report_2013_2014,0.0,0.2200917662980802,4308.8701171875,209.78851318359372
physical_query_053,report_2013_2014,0.2685529228900211,0.2457313285402064,810.7257690429688,383.6534118652344
physical_query_054,report_2013_2014,0.2835149363066189,0.510069131458292,2351.512939453125,567.5128173828125
physical_query_055,report_2013_2014,0.0694312219367772,0.0636207881989517,389.6412658691406,389.6412658691406
physical_query_056,report_2013_2014,0.0,0.5541432109622959,373.3404541015625,307.2919921875
physical_query_057,report_2013_2014,0.0,0.2122263659729146,3287.3828125,741.267333984375
physical_query_058,report_2013_2014,0.0,0.3052348839397012,843.3460693359375,402.6260681152344
physical_query_059,report_2013_2014,0.0636207881989517,0.0,665.0370483398438,1519.031982421875
physical_query_060,report_2013_2014,0.0,0.8006937664098821,4194.91015625,910.0956420898438
physical_query_061,report_2013_2014,0.066254223454389,0.0,1039.566650390625,1079.447265625
physical_query_062,report_2013_2014,0.0783982689786753,0.066254223454389,1820.6903076171875,5494.00537109375
physical_query_063,report_2013_2014,0.0694312219367772,0.3301376494471203,1967.7003173828125,708.9369506835938
physical_query_064,report_2013_2014,0.2837125544970319,0.2742654694553681,643.7830810546875,1271.0230712890625
physical_query_065,report_2013_2014,0.1951890007906611,0.3436966913921455,895.4424438476562,1483.395263671875
physical_query_066,report_2013_2014,0.1736666713479918,0.0,456.515380859375,1638.0809326171875
physical_query_067,report_2013_2014,0.1794771050858173,0.5810820381115674,1073.988037109375,637.9415893554688
physical_query_068,report_2013_2014,0.066254223454389,0.2200917662980802,2395.8984375,365.25970458984375
physical_query_069,report_2013_2014,0.0,0.0,710.3528442382812,2053.09228515625
physical_query_070,report_2013_2014,0.07336392209936,0.0,2971.85205078125,1840.300048828125
physical_query_071,report_2013_2014,0.07336392209936,0.0,898.4329223632812,1732.717041015625
physical_query_072,report_2013_2014,0.2895229882348575,0.0,582.1299438476562,1584.223388671875
physical_query_073,report_2013_2014,0.0694312219367772,0.0,4175.08154296875,2565.219482421875
physical_query_074,report_2013_2014,0.2618080742270754,0.2122263659729146,993.8196411132812,944.6278686523438
physical_query_075,report_2013_2014,0.1610425878239398,0.0,2984.433837890625,2045.02783203125
physical_query_076,report_2013_2014,0.0,0.0,1210.8634033203125,1461.8138427734375
physical_query_077,report_2013_2014,0.0783982689786753,0.0,1083.6634521484375,1896.1068115234373
physical_query_078,report_2013_2014,0.4615890699208637,0.6267310462031456,2014.7640380859373,310.0187072753906
physical_query_079,report_2013_2014,0.0,0.0,2482.5830078125,5957.18408203125
physical_query_080,report_2013_2014,0.1388624438735545,0.5801476231864474,551.67236328125,722.7750244140625
physical_query_081,report_2013_2014,0.1388624438735545,0.3570764765963919,926.182373046875,1095.1094970703125
physical_query_082,report_2013_2014,0.4793821367833118,0.5517854393872874,2877.922607421875,368.1050415039063
physical_query_083,report_2013_2014,0.085143117641621,0.066254223454389,846.6585083007812,3726.47314453125
physical_query_084,report_2013_2014,0.199306233590118,0.5022037311331264,2820.054931640625,2820.054931640625
physical_query_085,report_2013_2014,0.0,0.2808815010511816,1293.4180908203125,1293.4180908203125
physical_query_086,report_2013_2014,0.3277609729266243,0.2344065099232999,894.3285522460938,1167.2723388671875
physical_query_087,report_2013_2014,0.0,0.0,765.6505737304688,1046.998291015625
physical_query_088,report_2013_2014,0.0947883643695507,0.0947883643695507,1846.7154541015625,1920.6915283203125
physical_query_089,report_2013_2014,0.0,0.1388624438735545,1224.823974609375,975.4734497070312
physical_query_090,report_2013_2014,0.38113435412202,0.0,427.7188720703125,1103.4786376953125
physical_query_091,report_2013_2014,0.0,0.0,4960.06201171875,3462.636962890625
physical_query_092,report_2013_2014,0.0,0.085143117641621,1541.0015869140625,1802.7923583984373
physical_query_093,report_2013_2014,0.0,0.1388624438735545,3725.77099609375,1726.484375
physical_query_094,report_2013_2014,0.0694312219367772,0.1388624438735545,2701.221923828125,4235.25146484375
physical_query_095,report_2013_2014,0.0,0.0,1708.350830078125,1218.61767578125
physical_query_096,report_2013_2014,0.2735872697693364,0.1356854453911663,2900.642578125,1462.837646484375
physical_query_097,report_2013_2014,0.1388624438735545,0.2200917662980802,1828.7784423828125,833.2323608398438
physical_query_098,report_2013_2014,0.066254223454389,0.1388624438735545,1236.0162353515625,1146.3963623046875
physical_query_099,report_2013_2014,0.2618080742270754,0.4627096215830836,839.5582275390625,254.4784240722656
physical_query_100,report_2013_2014,0.1681522864689108,0.0,1173.1123046875,1708.84375
physical_query_101,report_2015_2016,0.0947883643695507,0.3714891073940902,1213.55224609375,293.6817932128906
